country,GCI
AF,0.177
AL,0.631
DZ,0.262
AS,0.367
AD,0.115
AO,0.097
AG,0.247
AR,0.407
AM,0.495
AU,0.89
AT,0.826
AZ,0.653
BS,0.147
BH,0.585
BD,0.525
BB,0.173
BY,0.578
BE,0.814
BZ,0.129
BJ,0.485
BT,0.181
BO,0.139
BA,0.204
BW,0.44
BR,0.575
BN,0.624
BG,0.721
BF,0.4
BI,0.087
KH,0.161
CM,0.232
CA,0.892
CF,0.036
TD,0.098
CL,0.47
CN,0.828
CO,0.565
KM,0.015
CG,0.167
CR,0.221
CI,0.456
HR,0.84
CU,0.481
CY,0.652
CZ,0.569
DK,0.852
DO,0.43
EC,0.367
EG,0.842
SV,0.124
GQ,0.031
EE,0.905
FJ,0.192
FI,0.856
FR,0.918
GA,0.318
GM,0.28
GE,0.857
DE,0.849
GH,0.437
GR,0.527
GD,0.143
GN,0.191
GW,0.055
GY,0.132
HT,0.46
VA,0.021
HN,0.044
HU,0.816
IS,0.449
IN,0.719
ID,0.776
IR,0.641
IQ,0.263
IE,0.784
IL,0.783
IT,0.837
JM,0.407
JP,0.88
JO,0.556
KZ,0.778
KE,0.748
KI,0.028
KR,0.837
KW,0.6
KG,0.254
LA,0.195
LV,0.748
LB,0.186
LS,0.051
LR,0.206
LY,0.206
LI,0.543
LT,0.908
LU,0.886
MK,0.8
MG,0.196
MW,0.275
MY,0.893
MV,0.004
ML,0.085
MT,0.279
MU,0.88
MX,0.629
FM,0.04
MD,0.662
MC,0.751
MN,0.265
ME,0.639
MA,0.429
MZ,0.158
MM,0.172
NR,0.101
NP,0.26
NL,0.885
NZ,0.789
NI,0.129
NE,0.094
NG,0.65
NO,0.892
OM,0.862
PK,0.407
PA,0.369
PG,0.131
PY,0.603
PE,0.409
PH,0.643
PL,0.815
PT,0.758
QA,0.86
RO,0.568
RU,0.836
RW,0.697
WS,0.367
SM,0.075
ST,0.064
SA,0.881
SN,0.305
RS,0.643
SC,0.259
SL,0.138
SG,0.898
SK,0.729
SB,0.061
SO,0.07
ZA,0.652
SS,0.065
ES,0.896
LK,0.466
SR,0.11
SE,0.81
CH,0.788
SY,0.0237
TJ,0.233
TZ,0.642
TH,0.796
TL,0.082
TG,0.087
TO,0.208
TT,0.188
TN,0.536
TR,0.853
TM,0.115
TV,0.057
UG,0.621
UA,0.661
AE,0.807
GB,0.931
US,0.926
UY,0.681
UZ,0.66
VU,0.098
VE,0.354
VN,0.693
YE,0.019
ZM,0.436
ZW,0.136
